Gmt time,Open,High,Low,Close,Volume
07.01.2020 00:15:00.000,131.710,131.724,131.694,131.724,536.54
07.01.2020 00:20:00.000,131.723,131.738,131.723,131.735,418.62
07.01.2020 00:25:00.000,131.734,131.739,131.728,131.729,3.581.700.000.000.000
07.01.2020 00:30:00.000,131.732,131.732,131.707,131.710,216.29
07.01.2020 00:35:00.000,131.710,131.714,131.692,131.711,19.120.000.000.000.000
07.01.2020 00:40:00.000,131.712,131.767,131.705,131.760,6.180.400.000.000.000
07.01.2020 00:45:00.000,131.761,131.762,131.735,131.741,317.73
07.01.2020 00:50:00.000,131.742,131.758,131.735,131.748,242
07.01.2020 00:55:00.000,131.752,131.753,131.722,131.724,27.908.000.000.000.000
07.01.2020 01:00:00.000,131.727,131.731,131.697,131.710,264.62
07.01.2020 01:05:00.000,131.712,131.733,131.709,131.726,111.79
07.01.2020 01:10:00.000,131.727,131.740,131.727,131.738,15.985.000.000.000.000
07.01.2020 01:15:00.000,131.737,131.750,131.729,131.746,215.99
07.01.2020 01:20:00.000,131.748,131.773,131.739,131.739,41.340.999.999.999.900
07.01.2020 01:25:00.000,131.741,131.749,131.738,131.739,191.81
07.01.2020 01:30:00.000,131.739,131.742,131.708,131.720,216.2
07.01.2020 01:35:00.000,131.720,131.734,131.719,131.726,165.27
07.01.2020 01:40:00.000,131.725,131.744,131.724,131.739,22.704.000.000.000.000
07.01.2020 01:45:00.000,131.739,131.746,131.708,131.718,538.57
07.01.2020 01:50:00.000,131.719,131.728,131.719,131.726,17.323.999.999.999.900
07.01.2020 01:55:00.000,131.724,131.725,131.710,131.713,189.14
07.01.2020 02:00:00.000,131.714,131.717,131.691,131.697,326.89
07.01.2020 02:05:00.000,131.698,131.700,131.681,131.690,262.96
07.01.2020 02:10:00.000,131.691,131.704,131.691,131.699,597.13
07.01.2020 02:15:00.000,131.698,131.711,131.693,131.710,184.68
07.01.2020 02:20:00.000,131.712,131.721,131.708,131.708,20.570.999.999.999.900
07.01.2020 02:25:00.000,131.705,131.711,131.702,131.709,85.44
07.01.2020 02:30:00.000,131.709,131.718,131.709,131.712,117.01
07.01.2020 02:35:00.000,131.711,131.713,131.700,131.709,168.78
07.01.2020 02:40:00.000,131.709,131.710,131.694,131.694,180.47
07.01.2020 02:45:00.000,131.697,131.705,131.691,131.698,202.03
07.01.2020 02:50:00.000,131.698,131.702,131.689,131.692,19.676.000.000.000.000
07.01.2020 02:55:00.000,131.691,131.696,131.689,131.693,118.28
07.01.2020 03:00:00.000,131.693,131.699,131.685,131.697,17.683.999.999.999.900
07.01.2020 03:05:00.000,131.697,131.714,131.696,131.705,14.154.999.999.999.900
07.01.2020 03:10:00.000,131.706,131.726,131.701,131.719,173.18
07.01.2020 03:15:00.000,131.718,131.731,131.709,131.720,38.643.999.999.999.900
07.01.2020 03:20:00.000,131.720,131.726,131.710,131.712,310.97
